"run_year","Sept1","Nofishing","Unfished","PostSI","SIvsSept","SIvsPE"
2010,213.217515927842,133.084818941382,"incomplete",149.788,0.423461932383385,-0.111512144221289
2011,304.870170184734,205.48596965759,"incomplete",207.02,0.472660468480021,-0.00741005865331717
2012,914.797750728716,524.037280957302,"548.348620256806",627.927,0.456853664086296,-0.165448721018045
2013,1438.58190131787,686.779867350583,"766.739642002622",869.325,0.654826332289844,-0.20998491087846
2014,820.789408830577,440.513746100885,"577.7356790878",551.183,0.489141371977323,-0.200784955085906
2015,410.675085041363,235.257148972205,"334.030398160805",254.949,0.610812692112395,-0.0772383928856163
2016,264.308569879077,180.772028191953,"219.365942713035",205.317,0.28731946151111,-0.119546709761234
2017,197.125422993872,126.079124836802,"144.023421597073",137.063,0.438210333889319,-0.0801374197500295
2018,255.937386532903,167.695097427744,"193.956847738763",220.366,0.161419577125797,-0.239015558535601
2019,908.781088991321,464.948305822154,"507.557026455519",507.052,0.792283807166367,-0.0830362451540394
